customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Location ID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,KQVCVY8549,1,United States,California,Los Angeles,90001,"33.973616, -118.24902",33.973616,-118.24902
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,PIYXEN8915,1,United States,California,Los Angeles,90002,"33.949255, -118.246978",33.949255,-118.246978
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,PZZUIT6837,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,KVBPAB7894,1,United States,California,Los Angeles,90004,"34.076259, -118.310715",34.076259,-118.310715
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,CKNALR2542,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,VCQKYE1638,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,LFSFDU3869,1,United States,California,Los Angeles,90007,"34.027337, -118.28515",34.027337,-118.28515
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,WCIGNC4964,1,United States,California,Los Angeles,90008,"34.008293, -118.346766",34.008293,-118.346766
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,SNLISG8671,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,FLOWOW7478,1,United States,California,Los Angeles,90011,"34.00709, -118.258681",34.00709,-118.258681
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,IMGQKK8449,1,United States,California,Los Angeles,90012,"34.065875, -118.238728",34.065875,-118.238728
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,ZVWRJR6977,1,United States,California,Los Angeles,90013,"34.044639, -118.240413",34.044639,-118.240413
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,SYXZXY1984,1,United States,California,Los Angeles,90014,"34.043144, -118.251977",34.043144,-118.251977
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,YTSGZA8582,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,WTXQXZ6641,1,United States,California,Los Angeles,90016,"34.028331, -118.354338",34.028331,-118.354338
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,YPDLML4591,1,United States,California,Los Angeles,90017,"34.052842, -118.264495",34.052842,-118.264495
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,SQJQYI9361,1,United States,California,Los Angeles,90018,"34.028735, -118.317236",34.028735,-118.317236
